Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000073921.17	-1.26006301380247	8.66754969189387	-6.60423894709427	2.20754073859762e-06	0.000262154510006577	5.04666560761675
ENSG00000160785.13	-1.27702990376513	6.91309930880938	-6.59462353203691	2.25225952776169e-06	0.000264523184553102	5.02246663037623
ENSG00000170837.2	-2.12289166970027	5.00739963330693	-6.59079994248978	2.27030048040219e-06	0.000264523184553102	5.02249445638304
ENSG00000176788.8	-2.34315914833318	8.59098469451713	-6.58828224486614	2.28226104839438e-06	0.000264523184553102	5.01467375846177
ENSG00000101265.15	-1.44306627594577	9.55317896132679	-6.58138073987215	2.31538135963717e-06	0.000266232104273201	5.00476538730513
ENSG00000233369.7	-1.43697608564985	5.01999132927975	-6.54092812284237	2.51972767284494e-06	0.000287299767407852	4.92691726011422
ENSG00000184014.7	-1.33334964821552	7.94342080738733	-6.53543944899124	2.5488516174483e-06	0.000287299767407852	4.90369044324391
ENSG00000198736.11	-1.83887773764914	8.42785274851224	-6.53080273353511	2.57372501137638e-06	0.000287299767407852	4.89671313666151
ENSG00000134324.11	1.42572995324685	5.54408861338274	6.52910922963713	2.58287193102559e-06	0.000287299767407852	4.90440957881949
ENSG00000149177.12	-1.43631452057977	8.17165761289349	-6.51591743547144	2.65527935872469e-06	0.000287299767407852	4.86513645126595
ENSG00000101493.10	-1.62991613780429	6.6957742675323	-6.51338169236566	2.66943546091053e-06	0.000287299767407852	4.85999383561237
ENSG00000143797.11	-1.79088855349627	5.39763906390878	-6.51262163039197	2.67369372461621e-06	0.000287299767407852	4.87139656005229
ENSG00000203710.11	-2.16200480154319	7.00454596146759	-6.50897708264323	2.6942097925664e-06	0.000287299767407852	4.85104836534121
ENSG00000245164.6	1.36645684040399	7.35764915826071	6.50412088548562	2.72179875756886e-06	0.000287299767407852	4.84019307475421
ENSG00000143376.13	-1.0913121560015	7.00547135196321	-6.49944266725445	2.74865178080129e-06	0.000287299767407852	4.82826135791115
ENSG00000145819.16	-1.58043690855589	7.70183800756337	-6.49223616500848	2.79055217491265e-06	0.000287299767407852	4.81481821672004
ENSG00000066336.11	-1.7335709182255	9.6574177404624	-6.49162819610634	2.79411700902891e-06	0.000287299767407852	4.82353213030295
ENSG00000183878.15	-5.2125284916756	2.43761169165335	-6.49084490709716	2.79871674906172e-06	0.000287299767407852	3.8638223103576
ENSG00000012817.15	-6.18731716960848	2.94073004661944	-6.49000294966727	2.8036697062321e-06	0.000287299767407852	3.90039178223934
ENSG00000146592.16	-1.87985229078166	7.70732409555866	-6.48877042518556	2.81093652352014e-06	0.000287299767407852	4.80829588543211
ENSG00000067048.16	-6.10472486550124	2.91330893305224	-6.4879326979807	2.8158867319102e-06	0.000287299767407852	3.81208382500816
ENSG00000096063.15	-1.46794316951284	6.80464786576435	-6.47174388042579	2.91333115742632e-06	0.000293849929560101	4.77254126173998
ENSG00000163932.13	-1.36884331911379	8.28418242357409	-6.47055042642876	2.9206508735957e-06	0.000293849929560101	4.772615822957
ENSG00000188897.9	-2.35099242155257	6.41917782887255	-6.46411699197599	2.96043599360278e-06	0.000295751146694816	4.76561119763333
ENSG00000169994.18	-2.24769091305085	3.56101267616383	-6.46092623177281	2.98037461467719e-06	0.000295751146694816	4.54716774798593
ENSG00000178562.17	1.64145696362983	5.85319331956936	6.4530664546534	3.03008118702544e-06	0.000298638205698126	4.7496278137906
ENSG00000198734.10	-1.94328720027276	5.74269801874262	-6.44728095960847	3.06721440240849e-06	0.000299762274785113	4.7363187604544
ENSG00000108622.10	1.11570121813329	6.0583504652844	6.44412138835358	3.08769104030975e-06	0.000299762274785113	4.72676562210709
ENSG00000013810.18	-1.06122492304694	7.56471555367321	-6.44168796882638	3.10355751088949e-06	0.000299762274785113	4.7106746442735
ENSG00000198034.10	1.12393274434791	9.43961340699975	6.43131898097892	3.17211225991021e-06	0.000304354718023702	4.70033648203423
ENSG00000067182.7	-1.53625991043138	8.6081678423164	-6.42219658165554	3.23371375385632e-06	0.000308223979380726	4.67556978762955
ENSG00000239998.5	-1.70411216654205	8.063901090077	-6.38825000083929	3.47397343198163e-06	0.000328397815443582	4.60289974704278
ENSG00000011198.9	-1.76745456440102	6.31732524450032	-6.38597737334133	3.49070013654829e-06	0.000328397815443582	4.60573753441795
ENSG00000114573.9	-1.30588991746934	6.88442976216638	-6.38239221759717	3.51725583230371e-06	0.000328761306441395	4.58945079545237
ENSG00000141401.11	-1.80084600481102	6.13742270429836	-6.37928723383467	3.54042280367574e-06	0.000328805420382398	4.59420423454986
ENSG00000161533.11	-1.62611705416672	7.06229284586791	-6.37306589007643	3.58731532585071e-06	0.000331038372235192	4.57057287488379
ENSG00000139370.11	-1.26674329376728	6.67877925554643	-6.36843245131077	3.62265413192662e-06	0.000332183626983246	4.56083926145669
ENSG00000103005.11	-1.47020539621892	7.09824670844536	-6.35931824009242	3.69321648291812e-06	0.00033467537822967	4.54122950519634
