Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000124549.14	-0.115833961947151	2.1540192412031	-0.258792958414812	0.798500297891325	0.927046123886323	-5.5355132651159
ENSG00000065526.10	-0.0527960256018529	7.10149092004207	-0.258748313304377	0.798534252926822	0.927046123886323	-6.22832237031964
ENSG00000106070.18	0.123480587189949	3.530538608969	0.258714610725961	0.798559885843547	0.927046123886323	-5.67261601602988
ENSG00000211933.2	0.206360340977196	-0.154015425084552	0.258318923244919	0.798860848400208	0.927281468955073	-5.09219057798882
ENSG00000139974.15	-0.138954082179161	1.8861237160072	-0.258179083234003	0.798967219361846	0.927281468955073	-5.55887971971384
ENSG00000135541.20	-0.124440266949856	1.82111002163909	-0.258160303301038	0.798981504846902	0.927281468955073	-5.48756443252023
ENSG00000101928.12	-0.111868752854756	2.48892142706013	-0.258111503221357	0.799018626341464	0.927281468955073	-5.57911156640558
ENSG00000052802.12	0.0740468178185556	3.51880699793726	0.25780450147381	0.799252169233461	0.927356116840829	-5.8738614668393
ENSG00000131697.17	-0.0707256973812074	3.63206424391308	-0.257708645200508	0.799325093148922	0.927356116840829	-5.89133399074089
ENSG00000049246.14	0.0941811097629199	2.2535183307175	0.257688663918643	0.799340294408536	0.927356116840829	-5.69802570878147
ENSG00000118246.13	0.0515084621110429	4.14529765310029	0.257558010674393	0.799439694150505	0.927356116840829	-6.06091903690666
ENSG00000160813.6	0.0607858484875505	4.4628241711409	0.257488366372736	0.799492680302768	0.927356116840829	-6.07887643575903
ENSG00000270049.2	0.0509720730180794	4.27399393054339	0.25745528648104	0.799517848197656	0.927356116840829	-6.02097403873336
ENSG00000134900.11	0.0547237294628937	5.80877556544044	0.25740184013191	0.799558511806982	0.927356116840829	-6.222627793582
ENSG00000145439.11	-0.0550116723484724	4.06380428847525	-0.257323364764287	0.799618219317414	0.927356116840829	-6.00693927518475
ENSG00000240857.1	-0.108629521555977	1.87087554224787	-0.257269732365629	0.799659025931286	0.927356116840829	-5.54692535431842
ENSG00000143158.10	0.0623564613945478	4.56271936638108	0.256984570094106	0.799876003693306	0.927460015220955	-6.04981871677504
ENSG00000259956.1	-0.0375172021298198	5.99112103347009	-0.256983722082412	0.799876648963683	0.927460015220955	-6.22260470035654
ENSG00000186496.11	0.136911346259218	1.80512297230748	0.25672015548226	0.800077209606692	0.927618326887144	-5.42164537620806
ENSG00000213246.6	-0.208572423695335	0.0461897998147448	-0.256415037611363	0.800309406387268	0.927813289568596	-5.09257434973632
ENSG00000089127.12	0.0979565530736375	6.58850851025493	0.256277814513478	0.800413840306409	0.927860115087154	-6.23103435348117
ENSG00000205482.9	-0.176661777341209	0.589789991437967	-0.255952140222442	0.800661710789948	0.928073195129592	-5.21391751368707
ENSG00000184470.20	0.055299310762388	4.86190924567076	0.255696991952067	0.800855919090956	0.928077629993175	-6.09587442671469
ENSG00000246100.3	-0.241114771253205	-0.31763274528417	-0.255623724304238	0.800911689845181	0.928077629993175	-5.02123269952867
ENSG00000171148.13	0.0512918212095812	6.8591424969928	0.255617315846409	0.800916567964658	0.928077629993175	-6.23113545255729
ENSG00000106948.16	0.0495294489422911	9.53345991011799	0.255604278211055	0.800926492241334	0.928077629993175	-6.16108021976761
ENSG00000110665.11	-0.0654903103668047	7.12813833895457	-0.25548541417039	0.801016973407964	0.928077629993175	-6.22611604653434
ENSG00000016864.18	0.0490567735481529	4.51736486957279	0.255442176892181	0.801049887014401	0.928077629993175	-6.07217409222329
ENSG00000197124.11	0.146306566033198	0.876963753817798	0.255225440336055	0.801214879588086	0.928194560648663	-5.35710430674296
ENSG00000179598.5	-0.0882520109387466	2.51515790905445	-0.255111185298218	0.801301861071121	0.928205514919616	-5.62379320872856
ENSG00000010244.18	-0.0445596793178336	7.33771698974745	-0.255016278413784	0.801374114973152	0.928205514919616	-6.22177131582581
ENSG00000187266.13	-0.0746253391941685	4.02611140530607	-0.254960557564806	0.801416536867026	0.928205514919616	-5.91457143112127
ENSG00000154188.9	-0.14991402412606	1.10367476981476	-0.254703213291585	0.801612468695124	0.92835822913309	-5.32150359880916
ENSG00000258511.1	-0.197234202132305	0.0332866199730307	-0.254578531945118	0.801707401017709	0.928393959391301	-5.16689846876559
ENSG00000124193.14	0.0433608190087433	7.0544728075212	0.254174474099386	0.802015072170388	0.928676020268908	-6.2258283040764
ENSG00000185880.12	0.0613337169020189	6.05583456031033	0.253792933668547	0.802305627756378	0.928863665634449	-6.21891357118318
ENSG00000124733.4	0.0588732036568329	4.23118033117497	0.253751288848203	0.802337343441788	0.928863665634449	-5.99888746610071
ENSG00000183527.11	-0.0840971834825961	2.57913567990552	-0.253709114596166	0.802369462687405	0.928863665634449	-5.68107290879402
ENSG00000259623.1	0.0714271861928615	2.85921180611882	0.253557392474466	0.802485014841226	0.928923209892912	-5.76133243729822
ENSG00000137817.16	-0.0489065146703105	5.49853417669285	-0.253382708656207	0.802618060479787	0.929002992748355	-6.19956340829399
ENSG00000111325.16	0.191396871396064	0.343370268699962	0.253269668240119	0.802704159518202	0.929028428111496	-5.18173642463566
ENSG00000111707.11	0.0458930937235413	5.90110988686777	0.253165628677565	0.802783405195151	0.929045928146606	-6.21009540385606
ENSG00000133997.11	0.0523499281779536	3.8887387673254	0.252895689721683	0.802989024630183	0.929209663645534	-5.93512422389377
ENSG00000012822.15	-0.0496304781834596	7.1602955572479	-0.252424273787632	0.803348149514789	0.929479273627507	-6.22994543068168
ENSG00000263786.1	0.144617749420083	0.557950843939653	0.252358741236636	0.803398075790285	0.929479273627507	-5.2098476176516
ENSG00000181555.20	-0.0407206623445227	6.44745802179677	-0.25233721340133	0.803414477059447	0.929479273627507	-6.22945016144113
ENSG00000182628.12	-0.0974020805058742	2.82192078577368	-0.252154161088459	0.803553941682294	0.929565771083634	-5.772122061854
ENSG00000103876.12	0.0845121149367709	3.46784376630824	0.251977765244642	0.803688341229522	0.929565771083634	-5.69749532106511
ENSG00000215067.9	-0.0639834789235585	3.76592308552643	-0.251929020064953	0.803725482267976	0.929565771083634	-5.92475691929094
ENSG00000147121.15	-0.0803411090202206	3.2374194414685	-0.251845392017234	0.803789203169573	0.929565771083634	-5.83114184482492
ENSG00000162735.18	-0.0451938693035876	4.75675361972503	-0.251818034994662	0.803810048325219	0.929565771083634	-6.09934180427558
ENSG00000206530.10	-0.0909561125786102	2.69091542128413	-0.251712264822404	0.803890643149289	0.929584774359238	-5.71141213438981
ENSG00000105968.18	-0.0363612723368059	6.18504536212676	-0.251308386601039	0.804198411211945	0.929866447058153	-6.22764238072898
ENSG00000281530.1	0.133162198692038	0.874859377324696	0.251065264284521	0.804383693942567	0.929994666883487	-5.25862874600718
ENSG00000172273.12	0.0507811583996283	4.74680631542973	0.250982823137608	0.804446524764834	0.929994666883487	-6.12818612056363
ENSG00000130803.14	0.0473453132841444	5.30888359504925	0.250891253213584	0.804516314493337	0.929994666883487	-6.18222524740986
ENSG00000100568.10	0.0593238272810419	6.12311524518328	0.250790451278371	0.804593142312581	0.929994666883487	-6.21525133548213
